year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg
2020,MYS,Malaysia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",109974997.79,250176893.779,Coffee,Coffee total,2.274852455616494
2020,MDV,Maldives,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",366661.918,5498542.96,Coffee,Coffee total,14.996220469233458
2020,MLI,Mali,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",299814.5,753025.236,Coffee,Coffee total,2.511637148970447
2020,MLT,Malta,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1096467.0,5567119.272,Coffee,Coffee total,5.077324964636419
2020,MRT,Mauritania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1023966.0,484113.645,Coffee,Coffee total,0.47278292931601246
2020,MUS,Mauritius,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",306642.0,2905267.598,Coffee,Coffee total,9.474460765322428
2020,MEX,Mexico,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,73039368.0,Coffee,Coffee total,
2020,HUN,Hungary,1801,"Cocoa beans; whole or broken, raw or roasted",7281.0,52334.0,Cocoa,Cocoa beans,7.1877489355857715
2020,ISL,Iceland,1801,"Cocoa beans; whole or broken, raw or roasted",16048.33,141517.804,Cocoa,Cocoa beans,8.818226195498223
2020,IDN,Indonesia,1801,"Cocoa beans; whole or broken, raw or roasted",198838259.0,505495460.0,Cocoa,Cocoa beans,2.542244448036532
2020,IRN,Iran,1801,"Cocoa beans; whole or broken, raw or roasted",3857379.0,14504964.0,Cocoa,Cocoa beans,3.760316007319996
2020,IRL,Ireland,1801,"Cocoa beans; whole or broken, raw or roasted",40501.0,735899.75,Cocoa,Cocoa beans,18.169915557640554
2020,ISR,Israel,1801,"Cocoa beans; whole or broken, raw or roasted",92356.457,257000.0,Cocoa,Cocoa beans,2.7826966121058545
