year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg,population,gdp_per_capita,import_value_usd_per_capita,net_weight_kg_per_capita
2021,AUT,Austria,1806,Chocolate and other food preparations containing cocoa,93802824.002,534121370.212,Cocoa,Chocolate and cocoa preparations,5.694086248412008,8955797.0,53648.6437976214,59.63973616329178,10.473978363064727
2021,BEL,Belgium,1806,Chocolate and other food preparations containing cocoa,206997625.5,923412069.471,Cocoa,Chocolate and cocoa preparations,4.4609790437958425,11586195.0,51658.238294958,79.69933783015044,17.86588483104246
2021,BGR,Bulgaria,1806,Chocolate and other food preparations containing cocoa,39718535.954,204363977.896,Cocoa,Chocolate and cocoa preparations,5.145304905817374,6507301.0,12966.1457543396,31.405336543676096,6.103688142595526
2021,HRV,Croatia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",20500379.11,82819644.0,Coffee,Coffee total,4.039907923439373,3878981.0,17788.7865816658,21.350876428629064,5.284990854556906
2021,CYP,Cyprus,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",3100013.0,26803115.428,Coffee,Coffee total,8.64613000913222,1317309.0,32937.83984375,20.346870345530167,2.3532922040310966
2021,CZE,Czechia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",53842601.005,286961508.0,Coffee,Coffee total,5.329636805126703,10505772.0,27696.4619527544,27.31465217406203,5.125049449483579
2021,DNK,Denmark,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",39911330.0,208317862.219,Coffee,Coffee total,5.219516919606538,5856733.0,69340.7334922138,35.56895324048407,6.814606368431001
2021,HRV,Croatia,1801,"Cocoa beans; whole or broken, raw or roasted",1575589.64,4355767.0,Cocoa,Cocoa beans,2.764531378868422,3878981.0,17788.7865816658,1.1229152707889005,0.40618648041843974
2021,CYP,Cyprus,1801,"Cocoa beans; whole or broken, raw or roasted",151.0,1044.36,Cocoa,Cocoa beans,6.916291390728476,1317309.0,32937.83984375,0.0007927980451055902,0.00011462762343535191
2021,CZE,Czechia,1801,"Cocoa beans; whole or broken, raw or roasted",105655.238,717791.0,Cocoa,Cocoa beans,6.793709555601967,10505772.0,27696.4619527544,0.068323489220973,0.010056875211074446
2021,DNK,Denmark,1801,"Cocoa beans; whole or broken, raw or roasted",16744.0,147688.926,Cocoa,Cocoa beans,8.820408862876254,5856733.0,69340.7334922138,0.025216947059051524,0.0028589317628104267
2021,HRV,Croatia,1806,Chocolate and other food preparations containing cocoa,43459658.73,205877462.0,Cocoa,Chocolate and cocoa preparations,4.737208436887328,3878981.0,17788.7865816658,53.07514061038195,11.20388543537594
